target_gene,query_guide_id,score,runner_up_score,confidence
CDC73,guide10,0.11443197950131044,0.34368187293720104,0.023222817781663557
CPSF1,guide4,0.6710155598569766,0.545941365796735,0.03582008627043488
CPSF2,guide21,0.4734792251726367,0.6130689914710706,0.03000667548727508
CPSF3,guide3,0.5228851118523199,0.6159930058722416,0.031432211636833574
CPSF3L,guide1,0.12207776054678744,0.2728387801516712,0.024581731705494846
CPSF4,guide29,0.5514097737145269,0.6430693047597535,0.03161997780132661
CPSF6,guide19,0.5185737810716539,0.526137901823968,0.03347921854589655
CPSF7,guide2,0.20294774034834223,0.08245263747429107,0.028409456211352
CSTF1,guide16,0.4680899252841415,0.5357600474442658,0.029621473593444095
CSTF2,guide31,0.10005796504831611,0.23933381012551036,0.023368318767463495
CSTF3,guide22,0.5069580353894102,0.5719417925009883,0.03231892521979294
CTR9,guide28,0.3095912136094432,0.36981928137758735,0.027646029446178656
FIP1L1,guide17,0.46286921077478194,0.46350150659992256,0.030573066358449457
LEO1,guide14,0.3140052477033541,0.22286732905673126,0.02945870854546147
NT,NT-I8,0.018110691966441782,0.1370170278641654,0.02293249353595673
NUDT21,guide13,0.6356735544449684,0.5127352791727182,0.03753522367261591
PABPC1,guide18,0.5321810577694615,0.3386594749680293,0.03514500250907273
PABPN1,guide24,0.3992695731356207,0.2764856653054861,0.030944650224996956
PAF1,guide12,0.2597792898040123,0.3611746895437974,0.02616873162116731
PAPOLA,guide7,0.3328348622497278,0.2720716088417006,0.029795919466381472
PCF11,guide20,0.5590754844235984,0.5013664840231679,0.032742543597641734
PHF3,NT-I7,0.041816333999393586,0.06553369655570822,0.026236560086307845
RBBP6,guide9,0.4529564711780578,0.446559875634683,0.031431354574305216
RPAP2,guide15,0.19820897168181145,0.30409872489733847,0.025204748295811253
RPRD1A,guide8,0.1160546253234505,0.1520767210960728,0.0253682367652587
RPRD1B,guide5,0.32811869900130064,0.366008544614729,0.028158396539608853
SCAF1,guide26,0.4319131307098058,0.5194422972494533,0.028851401161481667
SCAF11,guide11,0.13476402076093058,0.11141971484364341,0.025975742652629613
SCAF4,guide6,0.25807035414460494,0.29243275038723565,0.026962414864011203
SCAF8,NT-I3,0.040045528214459676,0.054118599310137974,0.025502302213056577
SF3A1,guide23,0.22403843406410473,0.30480724330735126,0.025731767295041907
SRSF3,guide30,0.28936676011100715,0.23164368229252666,0.02937532319815207
SYMPK,guide25,0.4346808391405206,0.5108484982140655,0.028868348752720506
THOC5,guide27,0.28618157677269696,0.3084267820869211,0.02684853998890785
