cell_id,n_timepoints,mean_distance_nm,contact_fraction,transcription_fraction
0,250,539.630890989764,0.036000000000,0.140000000000
1,250,523.310186030587,0.060000000000,0.144000000000
2,250,521.882632493277,0.064000000000,0.160000000000
3,250,527.301333075597,0.048000000000,0.140000000000
4,250,521.476991932466,0.040000000000,0.148000000000
5,250,522.322639986712,0.068000000000,0.148000000000
6,250,521.044836790334,0.064000000000,0.140000000000
7,250,520.551935256502,0.056000000000,0.144000000000
8,250,533.209514014005,0.036000000000,0.140000000000
9,250,514.843872014417,0.072000000000,0.168000000000
10,250,517.928751502532,0.072000000000,0.168000000000
11,250,525.623567504061,0.036000000000,0.148000000000
12,250,529.775325029988,0.052000000000,0.148000000000
13,250,525.473091049654,0.068000000000,0.160000000000
14,250,533.439384354989,0.064000000000,0.144000000000
15,250,521.106356381459,0.064000000000,0.100000000000
16,250,523.336677148055,0.064000000000,0.148000000000
17,250,539.220198521164,0.040000000000,0.152000000000
18,250,517.945876282462,0.080000000000,0.180000000000
19,250,531.234143572496,0.044000000000,0.172000000000
20,250,534.989189790007,0.040000000000,0.184000000000
21,250,510.641263238419,0.080000000000,0.176000000000
22,250,535.166226929248,0.056000000000,0.176000000000
23,250,535.254461431984,0.044000000000,0.184000000000
24,250,527.474028880847,0.064000000000,0.164000000000
25,250,528.666330173965,0.048000000000,0.188000000000
26,250,528.750969588068,0.052000000000,0.136000000000
27,250,519.668283772872,0.044000000000,0.128000000000
28,250,518.440162516822,0.056000000000,0.152000000000
29,250,542.312862646536,0.056000000000,0.132000000000
30,250,528.761843733963,0.040000000000,0.140000000000
31,250,513.673926780284,0.068000000000,0.136000000000
32,250,521.598914388671,0.056000000000,0.144000000000
33,250,514.111201932004,0.076000000000,0.152000000000
34,250,510.446069394999,0.076000000000,0.152000000000
35,250,529.694487018972,0.068000000000,0.192000000000
36,250,520.937750330243,0.072000000000,0.140000000000
37,250,524.467963839419,0.060000000000,0.120000000000
38,250,532.453028242771,0.052000000000,0.148000000000
39,250,523.446685661749,0.052000000000,0.128000000000
40,250,543.783755999516,0.040000000000,0.152000000000
41,250,534.098583017406,0.060000000000,0.144000000000
42,250,505.872603973749,0.060000000000,0.152000000000
43,250,523.741636406953,0.076000000000,0.152000000000
44,250,525.868489237278,0.064000000000,0.124000000000
45,250,533.942837974917,0.016000000000,0.144000000000
46,250,533.462603588153,0.064000000000,0.140000000000
47,250,533.732273147074,0.056000000000,0.172000000000
48,250,536.124897408115,0.060000000000,0.140000000000
49,250,521.332053682255,0.060000000000,0.172000000000
50,250,517.185090863485,0.068000000000,0.172000000000
51,250,522.999223670555,0.056000000000,0.140000000000
52,250,527.608801579918,0.048000000000,0.152000000000
53,250,530.584903475604,0.052000000000,0.180000000000
54,250,548.310544131311,0.048000000000,0.148000000000
55,250,516.412525561261,0.060000000000,0.108000000000
56,250,532.752857507602,0.052000000000,0.156000000000
57,250,522.879019678991,0.064000000000,0.164000000000
58,250,531.175735027046,0.036000000000,0.128000000000
59,250,525.952854305494,0.048000000000,0.152000000000
60,250,536.906951992638,0.036000000000,0.172000000000
61,250,519.923836466396,0.068000000000,0.144000000000
62,250,513.041247328525,0.056000000000,0.140000000000
63,250,531.700714084922,0.048000000000,0.156000000000
64,250,518.048597953889,0.052000000000,0.144000000000
65,250,530.401106792637,0.068000000000,0.140000000000
66,250,521.759845794482,0.044000000000,0.144000000000
67,250,526.258320310995,0.044000000000,0.156000000000
68,250,532.654805587952,0.048000000000,0.200000000000
69,250,532.311557244702,0.064000000000,0.188000000000
70,250,512.897446934347,0.056000000000,0.132000000000
71,250,510.610213699065,0.100000000000,0.176000000000
72,250,541.241630376915,0.032000000000,0.188000000000
73,250,514.984422732177,0.060000000000,0.112000000000
74,250,509.430079520598,0.064000000000,0.172000000000
75,250,535.245089138184,0.024000000000,0.164000000000
76,250,533.818979898473,0.052000000000,0.160000000000
77,250,520.756959134497,0.048000000000,0.160000000000
78,250,529.379391843907,0.064000000000,0.140000000000
79,250,514.473412901451,0.060000000000,0.184000000000
80,250,538.999304162269,0.064000000000,0.164000000000
81,250,525.902920045636,0.084000000000,0.188000000000
82,250,537.405229713101,0.012000000000,0.136000000000
83,250,523.234943863667,0.072000000000,0.164000000000
84,250,519.076041692986,0.048000000000,0.156000000000
85,250,531.991002589812,0.060000000000,0.132000000000
86,250,524.375020882376,0.048000000000,0.144000000000
87,250,521.198884185109,0.072000000000,0.120000000000
88,250,519.414244373189,0.072000000000,0.124000000000
89,250,532.302207757812,0.060000000000,0.148000000000
90,250,523.240688731087,0.072000000000,0.148000000000
91,250,518.235947892389,0.076000000000,0.160000000000
92,250,537.921073571533,0.036000000000,0.112000000000
93,250,523.567057791716,0.068000000000,0.152000000000
94,250,514.488554143932,0.064000000000,0.168000000000
95,250,534.365918337749,0.048000000000,0.144000000000
96,250,518.663464219207,0.072000000000,0.152000000000
97,250,516.337355436759,0.080000000000,0.140000000000
98,250,522.049823398064,0.068000000000,0.140000000000
99,250,526.684222709078,0.064000000000,0.140000000000
100,250,540.512669193554,0.052000000000,0.140000000000
101,250,537.177970576969,0.036000000000,0.164000000000
102,250,520.861663102404,0.060000000000,0.124000000000
103,250,506.586959710232,0.080000000000,0.168000000000
104,250,519.974863166836,0.040000000000,0.180000000000
105,250,510.663702516742,0.080000000000,0.160000000000
106,250,524.019488302455,0.080000000000,0.152000000000
107,250,529.965277314530,0.044000000000,0.160000000000
108,250,542.561507059546,0.036000000000,0.128000000000
