organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,2.4271,1,promoter_accessibility+organ_marker_coherence(mutual_best_directional)
Bladder,Stomach,0.0426,2,promoter_accessibility+organ_marker_coherence
GallBladder,Stomach,-0.1435,3,promoter_accessibility+organ_marker_coherence
Gill,Stomach,-0.2594,4,promoter_accessibility+organ_marker_coherence
Limb,Stomach,-0.3642,5,promoter_accessibility+organ_marker_coherence
Cloaca,Heart,-0.7391,6,promoter_accessibility+organ_marker_coherence
Cloaca,Lung,-0.7603,7,promoter_accessibility+organ_marker_coherence
Bladder,GallBladder,-0.7608,8,promoter_accessibility+organ_marker_coherence
Prostate,Stomach,-0.7947,9,promoter_accessibility+organ_marker_coherence
Bladder,Limb,-0.8576,10,promoter_accessibility+organ_marker_coherence
Cloaca,Limb,-0.8646,11,promoter_accessibility+organ_marker_coherence
Cloaca,Intestine,-0.8891,12,promoter_accessibility+organ_marker_coherence
Cloaca,GallBladder,-0.9467,13,promoter_accessibility+organ_marker_coherence
Liver,Stomach,-0.9912,14,promoter_accessibility+organ_marker_coherence
Bladder,Gill,-1.0107,15,promoter_accessibility+organ_marker_coherence
Limb,Prostate,-1.0252,16,promoter_accessibility+organ_marker_coherence
Lung,Stomach,-1.0876,17,promoter_accessibility+organ_marker_coherence
Heart,Limb,-1.0889,18,promoter_accessibility+organ_marker_coherence
Heart,Stomach,-1.1338,19,promoter_accessibility+organ_marker_coherence
Bladder,Prostate,-1.1663,20,promoter_accessibility+organ_marker_coherence
Cloaca,Liver,-1.1679,21,promoter_accessibility+organ_marker_coherence
Gill,Limb,-1.2012,22,promoter_accessibility+organ_marker_coherence
Heart,Lung,-1.2134,23,promoter_accessibility+organ_marker_coherence
Bladder,Cloaca,-1.2277,24,promoter_accessibility+organ_marker_coherence
Intestine,Stomach,-1.2947,25,promoter_accessibility+organ_marker_coherence
Limb,Lung,-1.3208,26,promoter_accessibility+organ_marker_coherence
Kidney,Stomach,-1.3291,27,promoter_accessibility+organ_marker_coherence
