symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
5S_rRNA,0.0,,,,,
7SK,81.58587344939063,0.03439501921085733,0.4275410195553571,0.08044846608315659,0.9358805814256996,0.9782476145754858
A1BG,3.8451744898808875,0.15773610448857023,1.1189590002569196,0.14096683118179762,0.8878961455210674,
A1BG-AS1,0.6776775312081762,0.7069236300919911,2.949891204784208,0.23964396685053488,0.8106062771196394,
A1CF,3.6916236890135727,-2.0774180040000965,1.5147027809745437,-1.371502072943649,0.1702184977600577,
A2M,0.26504874365345343,-0.4902342794313199,4.193969139577715,-0.1168902924928725,0.9069469908855315,
A2M-AS1,5.189932909531582,-2.162924949936488,1.050975346336761,-2.0580168292962298,0.03958851792298266,
A2ML1,0.17589288783505497,1.2402801596797268,4.438726382864569,0.27942253085654306,0.7799205822776176,
A2ML1-AS1,0.0,,,,,
A2ML1-AS2,0.0,,,,,
A2MP1,0.5671031972904995,2.771873623660465,3.9005461287466194,0.7106373138961349,0.4773090141520876,
A3GALT2,2.76846233746379,0.904020799700214,1.2876792658447123,0.7020543264763839,0.48264528431456377,
A4GALT,373.39623180927373,-0.16114607305092812,0.1368359779317639,-1.1776586500612212,0.2389327179270293,0.5354941810768029
A4GNT,0.0,,,,,
AA06,0.0,,,,,
AAAS,1184.3887541887775,-0.10724146255641806,0.10359892380919106,-1.0351600056573544,0.3005941930860264,0.5984209692256229
AACS,564.8975658557607,0.27266310361205914,0.14843053543359783,1.8369744663087755,0.06621366490227863,0.26701385296795244
AACSP1,150.26715985630395,-0.06827970586444558,0.1873469265407286,-0.36445597013624775,0.7155175468956076,0.8844848405565522
AADAC,138.99884930800678,-0.10506240348145802,0.20896129306194022,-0.5027840416852487,0.6151161146670269,0.8294567245537391
AADACL2,0.0,,,,,
AADACL2-AS1,0.7252398650264141,-0.19302005961183413,2.4588878675218933,-0.07849892716188105,0.9374311835918143,
AADACL3,0.0,,,,,
AADACL4,0.17589288783505497,1.2402801596797268,4.438726382864569,0.27942253085654306,0.7799205822776176,
AADACP1,204.10503684074055,0.2746814740887039,0.1684673747855541,1.6304728107644115,0.10300160708538922,0.34199144365689915
AADAT,377.2838423923006,0.02117424364048656,0.1317947894742691,0.1606607038483908,0.8723606410791629,0.9545859417374193
AAGAB,1004.5967664173372,0.41416911036176535,0.11563584247201521,3.581667253922568,0.00034140845867258393,0.00902222060419087
AAK1,348.42775588509534,0.10033386760286334,0.15716625958614786,0.6383931759085171,0.5232177720090381,0.7711560865605459
AAMDC,90.23231676295008,-0.24410973565543945,0.23784302979290012,-1.0263480744758255,0.3047275443547236,0.6021617836879024
AAMP,2257.3044419443504,0.0020795469879498637,0.10109827940786206,0.020569558652529792,0.9835890240025451,0.9944658805096238
AANAT,3.8661910173678695,-0.6614232413505762,1.1125334233113355,-0.5945198836201445,0.5521644473459112,
AAR2,795.6804603463329,0.05323417139289779,0.12130627524362571,0.438841035107086,0.6607767244245711,0.8550920733523943
